x,Bathymetry
0.0,-1.5161688947454129e-05
0.2,3.460699533427306e-05
0.4,8.323004482267633e-05
0.6000000000000001,0.00013049210865439232
0.8,0.00017637009666298666
1.0,0.0002207963417459172
1.2000000000000002,0.00026377621521549946
1.4000000000000001,0.00030538232913158764
1.6,0.0003458038432480105
1.8,0.0003854101479199434
2.0,0.0004249025397256406
2.2,0.00046543241191444954
2.4000000000000004,0.0005092105447244009
2.6,0.0005595814096806172
2.8000000000000003,0.0006222236921066872
3.0,0.0007070410210534297
3.2,0.0008342561318345355
3.4000000000000004,0.0010193437444439735
3.6,0.0012887677904329488
3.8000000000000003,0.001679554738558009
4.0,0.0022430918869248352
4.2,0.003050550075372405
4.4,0.0042000189933525355
4.6000000000000005,0.005825563982987874
4.800000000000001,0.008107452813819192
5.0,0.01128049056606966
5.2,0.0156328390303221
5.4,0.021481798962846327
5.6000000000000005,0.029111334746335725
5.800000000000001,0.03866871470475938
6.0,0.05004886891295264
6.2,0.06282705065624272
6.4,0.07629709751071184
6.6000000000000005,0.08961954872609934
6.800000000000001,0.10201743132238021
7.0,0.11293244607897596
7.2,0.12208677103928925
7.4,0.1294529350681508
7.6000000000000005,0.1351710455164042
7.800000000000001,0.13923768532490483
8.0,0.14221695288486755
8.200000000000001,0.1443369555696191
8.4,0.14576437677326282
8.6,0.1462262755002061
8.8,0.14598680149088888
9.0,0.14498451076614394
9.200000000000001,0.14311978836711856
9.4,0.14016889848794756
9.600000000000001,0.13593392342465302
9.8,0.13020589382221398
10.0,0.12291296043692813
10.200000000000001,0.11421668060045559
10.4,0.10457433070587888
10.600000000000001,0.09466051825795131
10.8,0.08515670851280294
11.0,0.07653544118292444
11.200000000000001,0.06898116010851865
11.4,0.062457380628328084
11.600000000000001,0.0568232079179047
11.8,0.05191917231258914
12.0,0.04760628599017924
12.200000000000001,0.04377513875578193
12.4,0.040342712279089366
12.600000000000001,0.03724643204469651
12.8,0.034438838488293586
13.0,0.031883894872539335
13.200000000000001,0.029563862852246763
13.4,0.027434541391990235
13.600000000000001,0.02547511234050317
13.8,0.023667964503293438
14.0,0.02199811070819526
14.200000000000001,0.02045263601744912
14.4,0.019020289631181887
14.600000000000001,0.01769113403200746
14.8,0.01645622826928581
15.0,0.015307297636809792
15.200000000000001,0.014236361178898965
15.4,0.013235245618673674
15.600000000000001,0.012294676111566228
15.8,0.011403310496842105
